account_id,date,type,operation,amount,balance,k_symbol,bank,account
A0000004352,1994-02-03,debit,transer_to_another_bank,4351,18035,,YZ,64028662.0
A0000003042,1993-10-29,debit,transer_to_another_bank,11,15440,,WX,24074399.0
A0000000035,1994-02-01,credit,collection_from_another_bank,2520,18474,pension,UV,36180985.0
A0000005372,1994-01-20,debit,transer_to_another_bank,1474,18730,,WX,74414402.0
A0000011013,1993-11-02,debit,withdraw_cash,147,39070,interest_pmt,YZ,
A0000001972,1993-06-26,credit,collection_from_another_bank,3215,99876,,GH,75165712.0
A0000003268,1994-01-25,credit,deposit,2012,95292,,CD,
A0000006118,1994-01-22,credit,interest_pmt,0,13554,interest_pmt,,
A0000003487,1993-11-06,debit,transer_to_another_bank,4097,39603,household,YZ,71167778.0
A0000004134,1993-12-03,credit,deposit,376,18226,,,
A0000003352,1993-10-21,credit,interest_pmt,205,16344,interest_pmt,,
A0000004427,1993-11-23,debit,transer_to_another_bank,893,23773,household,UV,57071173.0
A0000001373,1994-04-07,credit,deposit,2298,22124,,,73166322.0
A0000008934,1993-12-06,credit,interest_pmt,9,17697,interest_pmt,,
A0000000411,1993-11-13,credit,deposit,165,36401,,,
A0000003771,1993-06-24,credit,interest_pmt,108,60427,interest_pmt,,
A0000003704,1994-04-11,cash_withdraw,interest_pmt,264,18631,pension,AB,90810441.0
A0000000096,1993-10-22,debit,transer_to_another_bank,125,28109,insurrance_pmt,YZ,19993174.0
A0000002433,1993-08-14,debit,deposit,941,31437,,,
A0000003000,1993-06-04,credit,interest_pmt,210,26934,interest_pmt,,
A0000003056,1993-11-13,debit,transer_to_another_bank,4524,45050,household,YZ,17844856.0
A0000005387,1993-09-05,credit,collection_from_another_bank,4812,43845,pension,EF,19660163.0
A0000002342,1993-12-16,debit,transer_to_another_bank,7027,40230,household,YZ,11861372.0
A0000002503,1993-10-29,debit,transer_to_another_bank,401,47536,household,YZ,66884094.0
A0000003868,1993-12-11,debit,withdraw_cash,0,23012,service,,
A0000003920,1994-01-09,credit,withdraw_cash,0,59299,,,
A0000001966,1993-07-31,credit,interest_pmt,44,42292,interest_pmt,,
A0000003868,1993-09-11,debit,transer_to_another_bank,4999,22222,insurrance_pmt,YZ,98339360.0
A0000002486,1993-05-25,credit,interest_pmt,111,28109,interest_pmt,,
A0000001816,1994-01-28,debit,collection_from_another_bank,241,24641,,OP,39912659.0
A0000002932,1993-07-01,credit,interest_pmt,93,10517,interest_pmt,,
A0000001535,1994-01-30,debit,withdraw_cash,162,16486,,,10936338.0
A0000003629,1994-02-02,debit,transer_to_another_bank,1859,13919,household,UV,11734843.0
A0000000652,1994-03-06,cash_withdraw,withdraw_cash,2304,54028,,,
A0000002566,1993-06-23,credit,collection_from_another_bank,4876,24229,pension,EF,27740109.0
A0000001000,1994-03-03,credit,deposit,7543,18322,,,
A0000008330,1994-02-09,credit,deposit,7445,28147,,,
A0000002991,1994-04-09,debit,transer_to_another_bank,2022,25384,household,YZ,67964726.0
A0000001978,1994-01-25,debit,withdraw_cash,1,12352,,,
A0000001730,1994-03-07,credit,collection_from_another_bank,5409,23133,pension,WX,4635501.0
A0000002023,1994-02-01,debit,withdraw_cash,1148,13816,,,
A0000000841,1994-02-11,credit,interest_pmt,10,26931,interest_pmt,,
A0000003649,1994-04-04,credit,interest_pmt,14,15490,interest_pmt,,
A0000003660,1993-11-04,credit,collection_from_another_bank,5164,20262,pension,WX,19660163.0
A0000002189,1993-07-05,credit,collection_from_another_bank,6236,23828,pension,OP,6972080.0
A0000001505,1993-09-28,cash_withdraw,transer_to_another_bank,3141,26421,,UV,2504826.0
A0000000748,1994-02-05,debit,transer_to_another_bank,5527,21504,household,MN,1514268.0
A0000004171,1994-01-21,debit,withdraw_cash,12767,52588,,,13876933.0
A0000000009,1994-02-01,credit,collection_from_another_bank,4495,17095,pension,OP,91703849.0
A0000002241,1994-01-15,debit,withdraw_cash,3287,41601,,,
A0000004478,1994-02-03,credit,interest_pmt,92,27874,interest_pmt,,
